user_id,exer_id,score,knowledge_code
222,20,0,"[2, 3, 5, 7]"
86,4,1,"[2, 3, 5, 7]"
245,1,1,"[4, 6, 7]"
417,12,1,"[7, 8]"
333,4,0,"[2, 3, 5, 7]"
245,5,1,"[2, 4, 7, 8]"
256,17,0,"[2, 5, 7]"
357,16,0,"[2, 7]"
463,2,0,"[4, 7]"
177,13,0,"[2, 4, 5, 7]"
270,19,1,"[1, 2, 3, 5, 7]"
105,16,0,"[2, 7]"
261,10,0,"[2, 5, 7, 8]"
74,11,1,"[2, 5, 7]"
88,20,1,"[2, 3, 5, 7]"
261,11,0,"[2, 5, 7]"
523,7,0,"[1, 2, 7]"
414,13,0,"[2, 4, 5, 7]"
166,7,0,"[1, 2, 7]"
303,18,1,"[2, 5, 6, 7]"
261,6,1,[7]
420,1,0,"[4, 6, 7]"
448,20,0,"[2, 3, 5, 7]"
127,18,1,"[2, 5, 6, 7]"
302,20,1,"[2, 3, 5, 7]"
383,13,0,"[2, 4, 5, 7]"
59,18,0,"[2, 5, 6, 7]"
249,18,0,"[2, 5, 6, 7]"
158,8,0,[7]
382,10,0,"[2, 5, 7, 8]"
234,2,1,"[4, 7]"
70,6,0,[7]
58,15,0,"[1, 7]"
493,4,0,"[2, 3, 5, 7]"
173,12,1,"[7, 8]"
435,5,0,"[2, 4, 7, 8]"
413,17,1,"[2, 5, 7]"
466,6,1,[7]
387,1,0,"[4, 6, 7]"
122,3,0,"[4, 7]"
17,12,0,"[7, 8]"
97,8,1,[7]
22,15,0,"[1, 7]"
525,7,0,"[1, 2, 7]"
150,4,1,"[2, 3, 5, 7]"
401,8,1,[7]
529,3,0,"[4, 7]"
492,15,0,"[1, 7]"
524,13,0,"[2, 4, 5, 7]"
260,2,0,"[4, 7]"
526,2,0,"[4, 7]"
373,7,0,"[1, 2, 7]"
363,9,1,[2]
360,6,1,[7]
56,7,1,"[1, 2, 7]"
337,11,0,"[2, 5, 7]"
252,8,1,[7]
332,1,1,"[4, 6, 7]"
74,14,1,"[2, 7]"
464,12,1,"[7, 8]"
232,1,1,"[4, 6, 7]"
525,19,0,"[1, 2, 3, 5, 7]"
301,17,1,"[2, 5, 7]"
170,2,0,"[4, 7]"
80,13,0,"[2, 4, 5, 7]"
436,19,0,"[1, 2, 3, 5, 7]"
164,10,1,"[2, 5, 7, 8]"
367,14,1,"[2, 7]"
81,9,0,[2]
172,4,1,"[2, 3, 5, 7]"
441,9,1,[2]
116,10,1,"[2, 5, 7, 8]"
336,15,0,"[1, 7]"
131,13,0,"[2, 4, 5, 7]"
102,5,1,"[2, 4, 7, 8]"
31,13,0,"[2, 4, 5, 7]"
329,20,0,"[2, 3, 5, 7]"
181,11,0,"[2, 5, 7]"
508,6,1,[7]
166,11,0,"[2, 5, 7]"
420,18,0,"[2, 5, 6, 7]"
173,14,1,"[2, 7]"
88,13,1,"[2, 4, 5, 7]"
142,16,1,"[2, 7]"
150,18,1,"[2, 5, 6, 7]"
317,6,1,[7]
119,8,1,[7]
435,18,0,"[2, 5, 6, 7]"
166,3,0,"[4, 7]"
267,20,1,"[2, 3, 5, 7]"
89,1,1,"[4, 6, 7]"
504,12,1,"[7, 8]"
507,9,1,[2]
316,15,0,"[1, 7]"
104,20,1,"[2, 3, 5, 7]"
313,9,1,[2]
413,13,1,"[2, 4, 5, 7]"
410,7,1,"[1, 2, 7]"
492,20,0,"[2, 3, 5, 7]"
507,10,0,"[2, 5, 7, 8]"
533,17,1,"[2, 5, 7]"
112,12,0,"[7, 8]"
8,19,0,"[1, 2, 3, 5, 7]"
521,8,0,[7]
461,17,0,"[2, 5, 7]"
398,20,0,"[2, 3, 5, 7]"
44,3,0,"[4, 7]"
497,18,0,"[2, 5, 6, 7]"
117,17,0,"[2, 5, 7]"
358,13,1,"[2, 4, 5, 7]"
515,1,0,"[4, 6, 7]"
122,12,1,"[7, 8]"
514,16,1,"[2, 7]"
29,12,0,"[7, 8]"
65,3,1,"[4, 7]"
111,18,0,"[2, 5, 6, 7]"
170,5,0,"[2, 4, 7, 8]"
122,10,0,"[2, 5, 7, 8]"
225,16,1,"[2, 7]"
291,9,0,[2]
211,12,0,"[7, 8]"
333,3,0,"[4, 7]"
227,6,0,[7]
171,14,0,"[2, 7]"
426,15,0,"[1, 7]"
147,9,0,[2]
494,4,1,"[2, 3, 5, 7]"
357,4,0,"[2, 3, 5, 7]"
504,10,0,"[2, 5, 7, 8]"
269,19,1,"[1, 2, 3, 5, 7]"
489,19,0,"[1, 2, 3, 5, 7]"
419,3,1,"[4, 7]"
238,4,1,"[2, 3, 5, 7]"
231,1,0,"[4, 6, 7]"
263,8,0,[7]
86,10,0,"[2, 5, 7, 8]"
164,5,1,"[2, 4, 7, 8]"
428,9,1,[2]
511,11,0,"[2, 5, 7]"
446,2,0,"[4, 7]"
493,14,0,"[2, 7]"
275,10,1,"[2, 5, 7, 8]"
485,15,0,"[1, 7]"
81,6,0,[7]
155,4,1,"[2, 3, 5, 7]"
421,1,0,"[4, 6, 7]"
408,6,0,[7]
210,1,1,"[4, 6, 7]"
393,8,0,[7]
401,9,0,[2]
244,15,0,"[1, 7]"
124,8,1,[7]
435,10,0,"[2, 5, 7, 8]"
345,11,0,"[2, 5, 7]"
263,12,1,"[7, 8]"
223,8,1,[7]
358,11,1,"[2, 5, 7]"
412,6,1,[7]
296,13,0,"[2, 4, 5, 7]"
249,4,0,"[2, 3, 5, 7]"
13,16,0,"[2, 7]"
172,2,1,"[4, 7]"
415,11,0,"[2, 5, 7]"
453,2,1,"[4, 7]"
470,19,0,"[1, 2, 3, 5, 7]"
334,17,0,"[2, 5, 7]"
135,19,0,"[1, 2, 3, 5, 7]"
508,12,1,"[7, 8]"
166,17,0,"[2, 5, 7]"
439,3,1,"[4, 7]"
239,15,0,"[1, 7]"
496,2,1,"[4, 7]"
415,17,0,"[2, 5, 7]"
25,1,1,"[4, 6, 7]"
252,11,0,"[2, 5, 7]"
304,7,1,"[1, 2, 7]"
199,18,1,"[2, 5, 6, 7]"
202,2,1,"[4, 7]"
215,20,0,"[2, 3, 5, 7]"
417,18,0,"[2, 5, 6, 7]"
178,20,0,"[2, 3, 5, 7]"
505,20,0,"[2, 3, 5, 7]"
1,17,0,"[2, 5, 7]"
165,7,0,"[1, 2, 7]"
235,4,0,"[2, 3, 5, 7]"
249,14,0,"[2, 7]"
157,9,1,[2]
53,13,0,"[2, 4, 5, 7]"
123,20,0,"[2, 3, 5, 7]"
260,18,1,"[2, 5, 6, 7]"
493,6,0,[7]
224,17,0,"[2, 5, 7]"
363,18,1,"[2, 5, 6, 7]"
266,11,1,"[2, 5, 7]"
521,16,0,"[2, 7]"
481,16,1,"[2, 7]"
23,1,1,"[4, 6, 7]"
128,7,1,"[1, 2, 7]"
465,17,0,"[2, 5, 7]"
490,10,0,"[2, 5, 7, 8]"
336,5,0,"[2, 4, 7, 8]"
251,7,0,"[1, 2, 7]"
81,11,0,"[2, 5, 7]"
14,12,1,"[7, 8]"
175,17,0,"[2, 5, 7]"
124,13,1,"[2, 4, 5, 7]"
439,4,1,"[2, 3, 5, 7]"
154,10,1,"[2, 5, 7, 8]"
202,15,1,"[1, 7]"
468,4,1,"[2, 3, 5, 7]"
488,18,0,"[2, 5, 6, 7]"
18,5,1,"[2, 4, 7, 8]"
162,11,1,"[2, 5, 7]"
22,19,0,"[1, 2, 3, 5, 7]"
59,19,0,"[1, 2, 3, 5, 7]"
221,3,0,"[4, 7]"
406,2,0,"[4, 7]"
301,2,1,"[4, 7]"
225,5,1,"[2, 4, 7, 8]"
348,19,0,"[1, 2, 3, 5, 7]"
305,4,1,"[2, 3, 5, 7]"
297,1,0,"[4, 6, 7]"
254,19,1,"[1, 2, 3, 5, 7]"
517,20,0,"[2, 3, 5, 7]"
132,10,1,"[2, 5, 7, 8]"
25,10,1,"[2, 5, 7, 8]"
241,3,1,"[4, 7]"
222,8,1,[7]
470,9,1,[2]
167,4,0,"[2, 3, 5, 7]"
245,15,1,"[1, 7]"
59,16,1,"[2, 7]"
122,8,0,[7]
369,13,1,"[2, 4, 5, 7]"
371,8,1,[7]
118,9,0,[2]
291,3,0,"[4, 7]"
176,8,1,[7]
439,17,1,"[2, 5, 7]"
143,3,0,"[4, 7]"
272,9,1,[2]
408,20,0,"[2, 3, 5, 7]"
173,16,1,"[2, 7]"
368,14,1,"[2, 7]"
50,10,0,"[2, 5, 7, 8]"
189,14,1,"[2, 7]"
420,19,0,"[1, 2, 3, 5, 7]"
398,11,0,"[2, 5, 7]"
325,17,1,"[2, 5, 7]"
50,6,1,[7]
527,15,1,"[1, 7]"
182,5,1,"[2, 4, 7, 8]"
45,14,1,"[2, 7]"
20,12,0,"[7, 8]"
185,3,1,"[4, 7]"
55,13,0,"[2, 4, 5, 7]"
109,8,1,[7]
179,11,1,"[2, 5, 7]"
417,6,1,[7]
433,20,1,"[2, 3, 5, 7]"
85,5,1,"[2, 4, 7, 8]"
234,10,1,"[2, 5, 7, 8]"
40,10,0,"[2, 5, 7, 8]"
325,19,0,"[1, 2, 3, 5, 7]"
395,20,0,"[2, 3, 5, 7]"
125,17,1,"[2, 5, 7]"
67,10,0,"[2, 5, 7, 8]"
409,3,1,"[4, 7]"
22,20,1,"[2, 3, 5, 7]"
397,19,0,"[1, 2, 3, 5, 7]"
200,10,0,"[2, 5, 7, 8]"
246,11,0,"[2, 5, 7]"
90,12,1,"[7, 8]"
249,7,0,"[1, 2, 7]"
383,4,1,"[2, 3, 5, 7]"
189,19,1,"[1, 2, 3, 5, 7]"
173,8,1,[7]
153,2,1,"[4, 7]"
8,2,0,"[4, 7]"
141,19,0,"[1, 2, 3, 5, 7]"
387,12,1,"[7, 8]"
319,5,1,"[2, 4, 7, 8]"
233,17,0,"[2, 5, 7]"
111,7,0,"[1, 2, 7]"
134,20,0,"[2, 3, 5, 7]"
157,17,0,"[2, 5, 7]"
395,11,0,"[2, 5, 7]"
402,7,0,"[1, 2, 7]"
252,20,0,"[2, 3, 5, 7]"
362,19,1,"[1, 2, 3, 5, 7]"
101,6,1,[7]
507,14,1,"[2, 7]"
479,4,0,"[2, 3, 5, 7]"
362,16,1,"[2, 7]"
199,8,1,[7]
304,12,0,"[7, 8]"
96,12,1,"[7, 8]"
490,7,0,"[1, 2, 7]"
329,5,1,"[2, 4, 7, 8]"
314,1,0,"[4, 6, 7]"
466,9,1,[2]
289,12,1,"[7, 8]"
401,20,0,"[2, 3, 5, 7]"
352,18,0,"[2, 5, 6, 7]"
24,7,0,"[1, 2, 7]"
299,6,1,[7]
314,14,1,"[2, 7]"
247,13,1,"[2, 4, 5, 7]"
437,13,0,"[2, 4, 5, 7]"
331,11,0,"[2, 5, 7]"
458,13,0,"[2, 4, 5, 7]"
125,11,1,"[2, 5, 7]"
396,8,1,[7]
98,15,0,"[1, 7]"
398,4,0,"[2, 3, 5, 7]"
394,16,1,"[2, 7]"
310,9,1,[2]
254,5,1,"[2, 4, 7, 8]"
271,20,0,"[2, 3, 5, 7]"
115,11,0,"[2, 5, 7]"
386,8,0,[7]
14,18,0,"[2, 5, 6, 7]"
54,6,1,[7]
462,15,0,"[1, 7]"
284,4,1,"[2, 3, 5, 7]"
30,1,1,"[4, 6, 7]"
56,13,1,"[2, 4, 5, 7]"
5,5,0,"[2, 4, 7, 8]"
169,18,1,"[2, 5, 6, 7]"
364,3,0,"[4, 7]"
255,1,1,"[4, 6, 7]"
530,14,0,"[2, 7]"
370,4,1,"[2, 3, 5, 7]"
412,20,0,"[2, 3, 5, 7]"
497,7,0,"[1, 2, 7]"
246,4,0,"[2, 3, 5, 7]"
522,10,0,"[2, 5, 7, 8]"
532,4,0,"[2, 3, 5, 7]"
39,12,1,"[7, 8]"
334,18,0,"[2, 5, 6, 7]"
146,16,1,"[2, 7]"
22,1,1,"[4, 6, 7]"
380,12,0,"[7, 8]"
102,15,1,"[1, 7]"
114,19,0,"[1, 2, 3, 5, 7]"
141,3,1,"[4, 7]"
502,2,0,"[4, 7]"
519,8,0,[7]
154,18,1,"[2, 5, 6, 7]"
203,15,1,"[1, 7]"
149,16,1,"[2, 7]"
127,3,1,"[4, 7]"
218,7,1,"[1, 2, 7]"
97,10,0,"[2, 5, 7, 8]"
6,9,1,[2]
211,9,1,[2]
469,6,1,[7]
336,13,0,"[2, 4, 5, 7]"
241,6,1,[7]
253,4,1,"[2, 3, 5, 7]"
426,20,0,"[2, 3, 5, 7]"
373,18,1,"[2, 5, 6, 7]"
159,20,0,"[2, 3, 5, 7]"
133,13,0,"[2, 4, 5, 7]"
138,15,1,"[1, 7]"
355,2,1,"[4, 7]"
460,13,0,"[2, 4, 5, 7]"
226,15,0,"[1, 7]"
423,10,0,"[2, 5, 7, 8]"
449,3,1,"[4, 7]"
531,5,0,"[2, 4, 7, 8]"
255,4,0,"[2, 3, 5, 7]"
255,19,0,"[1, 2, 3, 5, 7]"
102,17,1,"[2, 5, 7]"
102,12,1,"[7, 8]"
227,2,0,"[4, 7]"
21,7,1,"[1, 2, 7]"
101,5,1,"[2, 4, 7, 8]"
55,5,0,"[2, 4, 7, 8]"
231,19,0,"[1, 2, 3, 5, 7]"
44,9,0,[2]
